Raman Shift (cm-1),reference styrene
3177,89.9783782958984
3176,92.9410858154297
3175,104.393730163574
3174,100.754371643066
3173,94.1593475341797
3172,104.036926269531
3171,106.297973632813
3170,102.563018798828
3169,104.194885253906
3168,113.090927124023
3167,115.193252563477
3166,107.582443237305
3165,108.159370422363
3164,120.813911437988
3163,106.687393188477
3162,99.7725448608398
3161,107.882339477539
3160,109.353630065918
3159,115.367263793945
3158,114.423980712891
3157,109.697227478027
3156,112.040901184082
3155,106.035049438477
3154,111.92845916748
3153,121.683036804199
3152,111.866340637207
3151,112.775970458984
3150,116.778930664063
3149,118.496734619141
3148,121.820640563965
3147,108.57878112793
3146,104.175285339355
3145,114.855270385742
3144,115.070762634277
3143,106.473808288574
3142,99.6193771362305
3141,102.707672119141
3140,109.83073425293
3139,95.6598281860352
3138,88.9960174560547
3137,99.0970230102539
3136,91.6533508300781
3135,76.9657363891602
3134,73.9543762207031
3133,80.9509353637695
3132,78.8435745239258
3131,76.8700485229492
3130,76.3608856201172
3129,75.7980880737305
3128,77.5129013061523
3127,71.50244140625
3126,64.3673782348633
3125,65.7227401733398
3124,69.6608963012695
3123,66.9696044921875
3122,61.7025718688965
3121,61.6689224243164
3120,63.8915901184082
3119,61.6330413818359
3118,60.3224487304688
3117,65.4296340942383
3116,66.7375106811523
3115,67.5031661987305
3114,67.2523880004883
3113,63.9234428405762
3112,65.9789123535156
3111,72.1454849243164
3110,74.46435546875
3109,70.8042526245117
3108,74.908935546875
3107,78.470344543457
3106,81.914665222168
3105,93.4567031860352
3104,92.627555847168
3103,89.9735717773438
3102,94.0256576538086
3101,95.8084716796875
3100,101.867263793945
3099,109.140663146973
3098,116.110336303711
3097,127.896438598633
3096,132.775390625
3095,126.946075439453
3094,122.676689147949
3093,134.725936889648
3092,135.662445068359
3091,132.789978027344
3090,143.972732543945
3089,150.662994384766
3088,152.988143920898
3087,157.066253662109
3086,160.348785400391
3085,151.705871582031
3084,160.581604003906
3083,174.727462768555
3082,162.697860717773
3081,171.060012817383
3080,182.703506469727
3079,185.551803588867
3078,197.018478393555
3077,197.711883544922
3076,197.037780761719
3075,210.563751220703
3074,234.307968139648
3073,254.681686401367
3072,260.997100830078
3071,267.170043945313
3070,302.253082275391
3069,319.977142333984
3068,321.326995849609
3067,336.053039550781
3066,353.442230224609
3065,366.046295166016
3064,384.996337890625
3063,409.961944580078
3062,396.620513916016
3061,386.816650390625
3060,393.606506347656
3059,381.092407226563
3058,372.854034423828
3057,375.848327636719
3056,377.576507568359
3055,363.819549560547
3054,340.266876220703
3053,331.220764160156
3052,336.930938720703
3051,320.591918945313
3050,306.059387207031
3049,305.319946289063
3048,305.474731445313
3047,295.072204589844
3046,293.301025390625
3045,294.663909912109
3044,281.457366943359
3043,280.925598144531
3042,284.234985351563
3041,287.676635742188
3040,298.858947753906
3039,281.783203125
3038,268.973022460938
3037,280.801208496094
3036,274.348937988281
3035,269.445007324219
3034,276.391082763672
3033,286.936279296875
3032,292.846862792969
3031,283.750793457031
3030,280.931671142578
3029,298.529205322266
3028,282.554931640625
3027,275.679534912109
3026,298.72119140625
3025,312.639801025391
3024,325.964813232422
3023,338.866729736328
3022,347.789093017578
3021,357.181213378906
3020,367.098724365234
3019,377.878265380859
3018,396.786743164063
3017,433.503204345703
3016,455.480041503906
3015,464.306854248047
3014,491.461273193359
3013,529.19921875
3012,547.159057617188
3011,544.915466308594
3010,549.703674316406
3009,538.446533203125
3008,528.438598632813
3007,543.894348144531
3006,565.346740722656
3005,549.001831054688
3004,532.228576660156
3003,558.321105957031
3002,556.384155273438
3001,543.015747070313
3000,539.461547851563
2999,539.322937011719
2998,555.65283203125
2997,560.531860351563
2996,552.896789550781
2995,577.631164550781
2994,592.902038574219
2993,591.770263671875
2992,596.818359375
2991,610.502990722656
2990,634.611755371094
2989,650.156005859375
2988,648.201538085938
2987,682.637756347656
2986,704.36865234375
2985,694.973022460938
2984,721.951538085938
2983,770.598205566406
2982,801.809631347656
2981,808.712158203125
2980,833.662231445313
2979,861.522216796875
2978,885.331970214844
2977,911.942321777344
2976,922.68896484375
2975,925.953247070313
2974,960.816650390625
2973,1047.37194824219
2972,1082.35412597656
2971,1092.35473632813
2970,1140.59167480469
2969,1188.38952636719
2968,1244.92883300781
2967,1313.13916015625
2966,1378.59716796875
2965,1441.19860839844
2964,1511.60375976563
2963,1586.30798339844
2962,1648.64672851563
2961,1715.01904296875
2960,1794.3681640625
2959,1886.25524902344
2958,1989.400390625
2957,2091.3564453125
2956,2185.10791015625
2955,2277.51953125
2954,2388.99584960938
2953,2540.3984375
2952,2718.45092773438
2951,2887.9794921875
2950,3094.857421875
2949,3323.16870117188
2948,3543.07885742188
