Raman Shift (cm-1),reference isoprene
3029,269.542144775391
3028,287.737213134766
3027,289.421966552734
3026,288.547241210938
3025,306.314392089844
3024,322.951263427734
3023,335.609680175781
3022,352.747131347656
3021,377.068481445313
3020,403.223571777344
3019,428.497772216797
3018,458.085571289063
3017,498.229583740234
3016,517.853576660156
3015,532.941467285156
3014,574.060974121094
3013,586.12841796875
3012,600.679870605469
3011,632.250061035156
3010,634.13232421875
3009,605.200439453125
3008,581.585327148438
3007,581.79248046875
3006,580.839294433594
3005,591.2236328125
3004,600.947998046875
3003,587.789794921875
3002,569.393615722656
3001,575.150695800781
3000,595.239379882813
2999,597.925354003906
2998,606.755187988281
2997,611.037658691406
2996,606.867370605469
2995,622.414733886719
2994,649.840759277344
2993,677.919189453125
2992,694.619873046875
2991,689.210815429688
2990,707.391052246094
2989,745.104431152344
2988,760.739074707031
2987,780.293701171875
2986,806.259521484375
2985,825.252075195313
2984,835.01220703125
2983,864.930236816406
2982,897.689331054688
2981,914.835083007813
2980,947.475463867188
2979,975.6650390625
2978,992.913024902344
2977,1017.81335449219
2976,1058.26696777344
2975,1107.92797851563
2974,1150.24853515625
2973,1173.54162597656
2972,1199.89953613281
2971,1232.2529296875
2970,1276.46716308594
2969,1357.84094238281
2968,1428.0888671875
2967,1484.79992675781
2966,1556.96301269531
2965,1605.1689453125
2964,1657.98620605469
2963,1739.99169921875
2962,1832.04418945313
2961,1939.12683105469
2960,2038.57348632813
2959,2119.27172851563
2958,2222.37939453125
2957,2346.01489257813
2956,2459.12182617188
2955,2554.5986328125
2954,2702.66772460938
2953,2858.01245117188
2952,3001.42578125
2951,3199.626953125
2950,3396.404296875
2949,3606.30712890625
2948,3884.873046875
2947,4214.783203125
